RUN	basicpackage.WebSocketExample2	websocketexample2	1579866300680	 	3.1.1
USER	testwebsocketscenario	1	START	1579866302222	1579866302222
REQUEST	1		firsthttprequest	1579866302299	1579866302891	OK	 
REQUEST	1		opensocket	1579866302946	1579866303468	OK	 
REQUEST	1		opensocket	1579866303476	1579866303999	OK	 
REQUEST	1		sendmessage	1579866304001	1579866304001	OK	 
REQUEST	1		secondmessage	1579866308009	1579866308009	OK	 
REQUEST	1		check1	1579866308009	1579866308273	OK	 
REQUEST	1		sendmessage	1579866308288	1579866308288	OK	 
REQUEST	1		secondmessage	1579866312289	1579866312289	OK	 
REQUEST	1		check1	1579866312289	1579866312540	OK	 
USER	testwebsocketscenario	1	END	1579866302222	1579866312550
